group1,group2,meandiff,p-adj,lower,upper,reject
1.5,2.0,0.0311,1.0,-1.7195,1.7817,False
1.5,2.5,-0.7411,0.6896,-2.4917,1.0095,False
1.5,3.0,-0.5786,0.8257,-2.3292,1.172,False
2.0,2.5,-0.7722,0.6611,-2.5228,0.9783,False
2.0,3.0,-0.6097,0.8019,-2.3603,1.1408,False
2.5,3.0,0.1625,0.995,-1.5881,1.9131,False
