group1,group2,meandiff,p-adj,lower,upper,reject
1.5,2.0,-3.3331,0.3379,-8.4903,1.8242,False
1.5,2.5,-3.2833,0.3513,-8.4406,1.8739,False
1.5,3.0,-1.5314,0.8669,-6.6886,3.6259,False
2.0,2.5,0.0497,1.0,-5.1075,5.207,False
2.0,3.0,1.8017,0.8004,-3.3556,6.9589,False
2.5,3.0,1.7519,0.8135,-3.4053,6.9092,False
