group1,group2,meandiff,p-adj,lower,upper,reject
1.5,2.0,-1.135,0.9449,-6.4487,4.1787,False
1.5,2.5,-0.4214,0.9969,-5.7351,4.8923,False
1.5,3.0,-0.8828,0.9729,-6.1965,4.4309,False
2.0,2.5,0.7136,0.9853,-4.6001,6.0273,False
2.0,3.0,0.2522,0.9993,-5.0615,5.5659,False
2.5,3.0,-0.4614,0.9959,-5.7751,4.8523,False
