group1,group2,meandiff,p-adj,lower,upper,reject
1.5,2.0,-0.0253,0.9913,-0.2506,0.2,False
1.5,2.5,-0.0417,0.9632,-0.267,0.1836,False
1.5,3.0,-0.1067,0.6082,-0.332,0.1186,False
2.0,2.5,-0.0164,0.9976,-0.2417,0.2089,False
2.0,3.0,-0.0814,0.7837,-0.3067,0.1439,False
2.5,3.0,-0.065,0.8765,-0.2903,0.1603,False
